symbol,entry_date,exit_date,entry_price,exit_price,position_pct,ret_pct,pnl,equity_after,holding_days
GLD,2026-05-07,2026-05-14,431.68,427.21,0.05,-1.0355,-57.3,100871.28,5
GLD,2026-05-14,2026-05-21,427.21,416.99,0.1,-2.3923,-251.4,100619.89,5
GLD,2026-05-21,2026-05-28,416.99,412.77,0.1,-1.012,-111.89,100507.99,open->close
^GSPC,2024-03-26,2024-04-03,5203.5801,5211.4902,0.1,0.152,5.2,100005.2,5
^GSPC,2024-04-03,2024-04-10,5211.4902,5160.6401,0.1,-0.9757,-107.58,99897.62,5
^GSPC,2024-04-11,2024-04-18,5199.0601,5011.1201,0.1,-3.6149,-371.11,99526.51,5
^GSPC,2024-04-18,2024-04-25,5011.1201,5048.4199,0.1,0.7443,64.13,99590.64,5
^GSPC,2024-04-26,2024-05-03,5099.96,5127.79,0.1,0.5457,44.39,99635.03,5
^GSPC,2024-05-03,2024-05-10,5127.79,5222.6802,0.1,1.8505,174.41,99809.44,5
^GSPC,2024-05-10,2024-05-17,5222.6802,5303.27,0.1,1.5431,144.03,99953.47,5
^GSPC,2024-05-17,2024-05-24,5303.27,5304.7202,0.1,0.0273,-7.26,99946.21,5
^GSPC,2024-05-24,2024-06-03,5304.7202,5283.3999,0.1,-0.4019,-50.16,99896.05,5
^GSPC,2024-06-03,2024-06-10,5283.3999,5360.79,0.1,1.4648,136.34,100032.38,5
^GSPC,2024-06-10,2024-06-17,5360.79,5473.23,0.1,2.0975,199.81,100232.19,5
^GSPC,2024-06-17,2024-06-25,5473.23,5469.2998,0.1,-0.0718,-17.22,100214.97,5
^GSPC,2024-06-25,2024-07-02,5469.2998,5509.0098,0.1,0.7261,62.74,100277.71,5
^GSPC,2024-07-02,2024-07-10,5509.0098,5633.9102,0.1,2.2672,217.32,100495.04,5
^GSPC,2024-07-10,2024-07-17,5633.9102,5588.27,0.1,-0.8101,-91.46,100403.58,5
^GSPC,2024-07-18,2024-07-25,5544.5898,5399.2202,0.05,-2.6218,-136.64,100266.93,5
^GSPC,2024-07-25,2024-08-01,5399.2202,5446.6802,0.1,0.879,78.11,100345.04,5
^GSPC,2024-08-01,2024-08-08,5446.6802,5319.3101,0.1,-2.3385,-244.69,100100.35,5
^GSPC,2024-08-12,2024-08-19,5344.3901,5608.25,0.1,4.9371,484.2,100584.55,5
^GSPC,2024-08-19,2024-08-26,5608.25,5616.8398,0.1,0.1532,5.35,100589.9,5
^GSPC,2024-08-26,2024-09-03,5616.8398,5528.9302,0.1,-1.5651,-167.49,100422.41,5
^GSPC,2024-09-03,2024-09-10,5528.9302,5495.52,0.1,-0.6043,-70.73,100351.68,5
^GSPC,2024-09-10,2024-09-17,5495.52,5634.5801,0.1,2.5304,243.9,100595.58,5
^GSPC,2024-09-17,2024-09-24,5634.5801,5732.9302,0.1,1.7455,165.53,100761.11,5
^GSPC,2024-09-26,2024-10-03,5745.3701,5699.9399,0.1,-0.7907,-89.75,100671.36,5
^GSPC,2024-11-29,2024-12-06,6032.3799,6090.27,0.05,0.9597,43.27,100714.63,5
^GSPC,2024-12-30,2025-01-07,5906.9399,5909.0298,0.05,0.0354,-3.25,100711.37,5
^GSPC,2025-01-13,2025-01-21,5836.2202,6049.2402,0.05,3.65,178.76,100890.13,5
^GSPC,2025-01-21,2025-01-28,6049.2402,6067.7002,0.1,0.3052,20.7,100910.83,5
^GSPC,2025-02-10,2025-02-18,6066.4399,6129.5801,0.1,1.0408,94.94,101005.77,5
^GSPC,2025-02-25,2025-03-04,5955.25,5778.1499,0.1,-2.9738,-310.48,100695.29,5
^GSPC,2025-03-04,2025-03-11,5778.1499,5572.0698,0.1,-3.5665,-369.2,100326.09,5
^GSPC,2025-03-11,2025-03-18,5572.0698,5614.6602,0.1,0.7644,66.65,100392.74,5
^GSPC,2025-03-18,2025-03-25,5614.6602,5776.6499,0.1,2.8851,279.61,100672.35,5
^GSPC,2025-03-25,2025-04-01,5776.6499,5633.0698,0.1,-2.4855,-260.29,100412.06,5
^GSPC,2025-04-01,2025-04-08,5633.0698,4982.77,0.1,-11.5443,-1169.23,99242.83,5
^GSPC,2025-04-08,2025-04-15,4982.77,5396.6299,0.05,8.3058,407.18,99650.01,5
