date,AAPL,GLD,MSFT,TSLA,^DJI,^GSPC,^IXIC,^RUT,PORTFOLIO
2026-01-20,96924.42773397558,101600.08879141856,99443.78108032554,101722.35550495045,100190.44544923655,100684.38189661261,100398.70878017884,100251.64307964522,100151.97903954292
2026-01-21,96924.42773397558,101600.08879141856,99443.78108032554,101538.02684777672,100190.44544923655,100684.38189661261,100398.70878017884,100251.64307964522,100128.93795739619
2026-01-22,96924.42773397558,101600.08879141856,99443.78108032554,101538.02684777672,100190.44544923655,100684.38189661261,100373.38546036067,100251.64307964522,100125.77254241893
2026-01-23,96924.42773397558,101600.08879141856,99443.78108032554,101538.02684777672,100190.44544923655,100658.4260912161,100373.38546036067,100251.64307964522,100122.52806674436
2026-01-26,96924.42773397558,101600.08879141856,99443.78108032554,101538.02684777672,100190.44544923655,100658.4260912161,100373.38546036067,100251.64307964522,100122.52806674436
2026-01-27,96924.42773397558,101600.08879141856,99443.78108032554,101538.02684777672,100190.44544923655,100658.4260912161,100373.38546036067,100251.64307964522,100122.52806674436
2026-01-28,96924.42773397558,101600.08879141856,100273.97376993994,101538.02684777672,100190.44544923655,100658.4260912161,100373.38546036067,100251.64307964522,100226.30215294617
2026-01-29,97113.35216566901,101600.08879141856,100273.97376993994,101538.02684777672,100190.44544923655,100658.4260912161,100373.38546036067,100251.64307964522,100249.91770690784
2026-01-30,97113.35216566901,101600.08879141856,100273.97376993994,101538.02684777672,100190.44544923655,100658.4260912161,100373.38546036067,100251.64307964522,100249.91770690784
2026-02-02,97113.35216566901,101600.08879141856,100273.97376993994,101538.02684777672,100190.44544923655,100658.4260912161,100373.38546036067,100251.64307964522,100249.91770690784
2026-02-03,97113.35216566901,101600.08879141856,100273.97376993994,101538.02684777672,100190.44544923655,100658.4260912161,100373.38546036067,100251.64307964522,100249.91770690784
2026-02-04,97113.35216566901,101600.08879141856,99566.91940027002,101538.02684777672,100190.44544923655,100584.6509057305,100373.38546036067,100251.64307964522,100152.31401251341
2026-02-05,97113.35216566901,101600.08879141856,99566.91940027002,101538.02684777672,100190.44544923655,100584.6509057305,99878.31665710536,100251.64307964522,100090.43041210649
2026-02-06,97113.35216566901,101600.08879141856,99566.91940027002,101538.02684777672,100190.44544923655,100584.6509057305,99878.31665710536,100251.64307964522,100090.43041210649
2026-02-09,97113.35216566901,102069.5531735027,99566.91940027002,101538.02684777672,100190.44544923655,100584.6509057305,99878.31665710536,100251.64307964522,100149.113459867
2026-02-10,97113.35216566901,102069.5531735027,99566.91940027002,101538.02684777672,100190.44544923655,100584.6509057305,99878.31665710536,100251.64307964522,100149.113459867
2026-02-11,97113.35216566901,102069.5531735027,99566.91940027002,101538.02684777672,100190.44544923655,100660.45018374514,99878.31665710536,100251.64307964522,100158.58836961884
2026-02-12,97113.35216566901,102069.5531735027,99566.91940027002,101538.02684777672,100190.44544923655,100660.45018374514,99893.3910454181,100251.64307964522,100160.47266815793
2026-02-13,97113.35216566901,102069.5531735027,99566.91940027002,101538.02684777672,100190.44544923655,100660.45018374514,99893.3910454181,100251.64307964522,100160.47266815793
2026-02-17,97113.35216566901,102069.5531735027,99566.91940027002,101538.02684777672,100190.44544923655,100660.45018374514,99893.3910454181,100251.64307964522,100160.47266815793
2026-02-18,97113.35216566901,102018.97758660537,99566.91940027002,101538.02684777672,100190.44544923655,100660.45018374514,99893.3910454181,100251.64307964522,100154.15071979577
2026-02-19,97113.35216566901,102018.97758660537,99566.91940027002,101538.02684777672,100190.44544923655,100660.45018374514,99893.3910454181,100251.64307964522,100154.15071979577
2026-02-20,97113.35216566901,102018.97758660537,99566.91940027002,101538.02684777672,100190.44544923655,100763.45250080309,100011.12219424128,100251.64307964522,100181.7424030309
2026-02-23,97113.35216566901,102018.97758660537,99566.91940027002,101538.02684777672,100190.44544923655,100763.45250080309,100011.12219424128,100197.93843048238,100175.02932188555
2026-02-24,97113.35216566901,102018.97758660537,99566.91940027002,101538.02684777672,100190.44544923655,100763.45250080309,100011.12219424128,100197.93843048238,100175.02932188555
2026-02-25,97113.35216566901,102182.39466373569,99566.91940027002,101538.02684777672,100167.22752909183,100763.45250080309,100011.12219424128,100197.93843048238,100192.55421650875
2026-02-26,97113.35216566901,102182.39466373569,99566.91940027002,101538.02684777672,100167.22752909183,100763.45250080309,100011.12219424128,100197.93843048238,100192.55421650875
2026-02-27,97113.35216566901,102182.39466373569,99566.91940027002,101538.02684777672,100167.22752909183,100708.70767911148,99958.51984307289,100197.93843048238,100179.13581990125
2026-03-02,97113.35216566901,102182.39466373569,99566.91940027002,101538.02684777672,100167.22752909183,100708.70767911148,99958.51984307289,100321.5289544473,100194.58463539687
2026-03-03,97113.35216566901,102182.39466373569,99566.91940027002,101538.02684777672,100167.22752909183,100708.70767911148,99958.51984307289,100321.5289544473,100194.58463539687
2026-03-04,97113.35216566901,102159.80232676603,99566.91940027002,101538.02684777672,100006.85752386879,100708.70767911148,99958.51984307289,100321.5289544473,100171.71434262278
2026-03-05,97113.35216566901,102159.80232676603,99566.91940027002,101538.02684777672,100006.85752386879,100708.70767911148,99958.51984307289,100321.5289544473,100171.71434262278
2026-03-06,97113.35216566901,102159.80232676603,99566.91940027002,101538.02684777672,100006.85752386879,100495.34212057771,99824.8199696418,100321.5289544473,100128.33116362718
2026-03-09,97113.35216566901,102159.80232676603,99566.91940027002,101538.02684777672,100006.85752386879,100495.34212057771,99824.8199696418,100321.5289544473,100128.33116362718
2026-03-10,97113.35216566901,102159.80232676603,99566.91940027002,101538.02684777672,100006.85752386879,100495.34212057771,99824.8199696418,100079.6505665449,100098.09636513938
2026-03-11,97113.35216566901,102202.76447054968,99566.91940027002,101538.02684777672,99725.57097583984,100495.34212057771,99824.8199696418,100079.6505665449,100068.3058146087
2026-03-12,97113.35216566901,102202.76447054968,99566.91940027002,101538.02684777672,99725.57097583984,100495.34212057771,99824.8199696418,100079.6505665449,100068.3058146087
2026-03-13,96826.77775544506,102202.76447054968,99566.91940027002,101538.02684777672,99725.57097583984,100324.51531032407,99688.95318537469,100079.6505665449,99994.14731401563
2026-03-16,96826.77775544506,102202.76447054968,99566.91940027002,101493.21906530237,99725.57097583984,100324.51531032407,99688.95318537469,100079.6505665449,99988.54634120633
2026-03-17,96826.77775544506,102202.76447054968,99566.91940027002,101493.21906530237,99725.57097583984,100324.51531032407,99688.95318537469,99959.31458610868,99973.5043436518
