date,equity,symbol,daily_ret
2026-06-01,97395.82965415514,AAPL,0.0
2026-06-02,97395.82965415514,AAPL,0.0
2026-06-03,97395.82965415514,AAPL,0.0
2026-06-04,97395.82965415514,AAPL,0.0
2026-06-05,97395.82965415514,AAPL,0.0
2026-06-08,97395.82965415514,AAPL,0.0
2026-06-09,97395.82965415514,AAPL,0.0
2026-06-10,97395.82965415514,AAPL,0.0
2026-06-11,97395.82965415514,AAPL,0.0
2026-06-12,97395.82965415514,AAPL,0.0
2026-06-15,97395.82965415514,AAPL,0.0
2026-06-16,97395.82965415514,AAPL,0.0
2026-06-17,97395.82965415514,AAPL,0.0
2026-06-18,97395.82965415514,AAPL,0.0
2024-03-26,100000.0,^DJI,0.0
2024-03-27,100000.0,^DJI,0.0
2024-03-28,100000.0,^DJI,0.0
2024-04-01,100000.0,^DJI,0.0
2024-04-02,100000.0,^DJI,0.0
2024-04-03,100000.0,^DJI,0.0
2024-04-04,100000.0,^DJI,0.0
2024-04-05,100000.0,^DJI,0.0
2024-04-08,100000.0,^DJI,0.0
2024-04-09,100000.0,^DJI,0.0
2024-04-10,99909.94025686294,^DJI,-0.0009005974313704979
2024-04-11,99909.94025686294,^DJI,0.0
2024-04-12,99909.94025686294,^DJI,0.0
2024-04-15,99909.94025686294,^DJI,0.0
2024-04-16,99909.94025686294,^DJI,0.0
2024-04-17,99812.96120441177,^DJI,-0.0009706647026497262
2024-04-18,99812.96120441177,^DJI,0.0
2024-04-19,99812.96120441177,^DJI,0.0
2024-04-22,99812.96120441177,^DJI,0.0
2024-04-23,99812.96120441177,^DJI,0.0
2024-04-24,99990.06013945503,^DJI,0.0017743079947361018
2024-04-25,99990.06013945503,^DJI,0.0
2024-04-26,99990.06013945503,^DJI,0.0
2024-04-29,99990.06013945503,^DJI,0.0
2024-04-30,99990.06013945503,^DJI,0.0
2024-05-01,99990.06013945503,^DJI,0.0
2024-05-02,99990.06013945503,^DJI,0.0
2024-05-03,99990.06013945503,^DJI,0.0
2024-05-06,99990.06013945503,^DJI,0.0
2024-05-07,99990.06013945503,^DJI,0.0
2024-05-08,99990.06013945503,^DJI,0.0
2024-05-09,99990.06013945503,^DJI,0.0
2024-05-10,100093.27811969095,^DJI,0.00103228240979103
2024-05-13,100093.27811969095,^DJI,0.0
2024-05-14,100093.27811969095,^DJI,0.0
2024-05-15,100093.27811969095,^DJI,0.0
2024-05-16,100093.27811969095,^DJI,0.0
2024-05-17,100093.27811969095,^DJI,0.0
2024-05-20,100135.90133378905,^DJI,0.0004258349301651254
2024-05-21,100135.90133378905,^DJI,0.0
2024-05-22,100135.90133378905,^DJI,0.0
2024-05-23,100135.90133378905,^DJI,0.0
2024-05-24,100135.90133378905,^DJI,0.0
2024-05-28,100135.90133378905,^DJI,0.0
2024-05-29,100135.90133378905,^DJI,0.0
2024-05-30,100135.90133378905,^DJI,0.0
2024-05-31,100135.90133378905,^DJI,0.0
2024-06-03,100135.90133378905,^DJI,0.0
2024-06-04,100135.90133378905,^DJI,0.0
2024-06-05,100135.90133378905,^DJI,0.0
2024-06-06,100135.90133378905,^DJI,0.0
2024-06-07,100155.05078762339,^DJI,0.00019123464790626876
2024-06-10,100155.05078762339,^DJI,0.0
2024-06-11,100155.05078762339,^DJI,0.0
2024-06-12,100155.05078762339,^DJI,0.0
2024-06-13,100155.05078762339,^DJI,0.0
2024-06-14,100155.05078762339,^DJI,0.0
2024-06-17,100155.05078762339,^DJI,0.0
2024-06-18,100155.05078762339,^DJI,0.0
2024-06-20,100155.05078762339,^DJI,0.0
2024-06-21,100155.05078762339,^DJI,0.0
2024-06-24,100155.05078762339,^DJI,0.0
2024-06-25,100155.05078762339,^DJI,0.0
2024-06-26,100155.05078762339,^DJI,0.0
2024-06-27,100155.05078762339,^DJI,0.0
2024-06-28,100136.98489215094,^DJI,-0.00018037927523750774
2024-07-01,100136.98489215094,^DJI,0.0
2024-07-02,100136.98489215094,^DJI,0.0
2024-07-03,100136.98489215094,^DJI,0.0
2024-07-05,100136.98489215094,^DJI,0.0
2024-07-08,100184.80498039615,^DJI,0.00047754671559863127
2024-07-09,100184.80498039615,^DJI,0.0
2024-07-10,100184.80498039615,^DJI,0.0
2024-07-11,100184.80498039615,^DJI,0.0
2024-07-12,100184.80498039615,^DJI,0.0
2024-07-15,100184.80498039615,^DJI,0.0
2024-07-16,100184.80498039615,^DJI,0.0
2024-07-17,100184.80498039615,^DJI,0.0
2024-07-18,100184.80498039615,^DJI,0.0
2024-07-19,100184.80498039615,^DJI,0.0
2024-07-22,100184.80498039615,^DJI,0.0
2024-07-23,100184.80498039615,^DJI,0.0
2024-07-24,100184.80498039615,^DJI,0.0
2024-07-25,100184.80498039615,^DJI,0.0
2024-07-26,100184.80498039615,^DJI,0.0
2024-07-29,100184.80498039615,^DJI,0.0
2024-07-30,100184.80498039615,^DJI,0.0
2024-07-31,100184.80498039615,^DJI,0.0
2024-08-01,100184.80498039615,^DJI,0.0
2024-08-02,100184.80498039615,^DJI,0.0
2024-08-05,100184.80498039615,^DJI,0.0
2024-08-06,100184.80498039615,^DJI,0.0
2024-08-07,100184.80498039615,^DJI,0.0
2024-08-08,100184.80498039615,^DJI,0.0
2024-08-09,100114.34809391087,^DJI,-0.0007032691883670505
2024-08-12,100114.34809391087,^DJI,0.0
2024-08-13,100114.34809391087,^DJI,0.0
2024-08-14,100114.34809391087,^DJI,0.0
2024-08-15,100114.34809391087,^DJI,0.0
2024-08-16,100114.34809391087,^DJI,0.0
2024-08-19,100114.34809391087,^DJI,0.0
2024-08-20,100114.34809391087,^DJI,0.0
2024-08-21,100114.34809391087,^DJI,0.0
2024-08-22,100114.34809391087,^DJI,0.0
2024-08-23,100172.78417239111,^DJI,0.0005836933425908963
2024-08-26,100172.78417239111,^DJI,0.0
2024-08-27,100172.78417239111,^DJI,0.0
2024-08-28,100172.78417239111,^DJI,0.0
2024-08-29,100172.78417239111,^DJI,0.0
2024-08-30,100172.78417239111,^DJI,0.0
2024-09-03,100172.78417239111,^DJI,0.0
2024-09-04,100172.78417239111,^DJI,0.0
2024-09-05,100172.78417239111,^DJI,0.0
2024-09-06,100172.78417239111,^DJI,0.0
2024-09-09,100172.78417239111,^DJI,0.0
2024-09-10,100143.30932798845,^DJI,-0.00029424004380207425
2024-09-11,100143.30932798845,^DJI,0.0
2024-09-12,100143.30932798845,^DJI,0.0
2024-09-13,100143.30932798845,^DJI,0.0
2024-09-16,100143.30932798845,^DJI,0.0
2024-09-17,100346.97427050093,^DJI,0.0020337348933161525
2024-09-18,100346.97427050093,^DJI,0.0
2024-09-19,100346.97427050093,^DJI,0.0
2024-09-20,100346.97427050093,^DJI,0.0
2024-09-23,100346.97427050093,^DJI,0.0
2024-09-24,100482.14107623586,^DJI,0.0013469943335866486
