symbol,scenario,n_features,fold,split,n_rows,mae,rmse,r2
TSLA,ALL_NO_REGIME,51,4,test,125,0.012266143980106111,0.01602341770017997,-0.1804490092477644
TSLA,ALL_FULL,60,4,test,125,0.012365702119790939,0.016292886287199014,-0.22048649099651518
TSLA,PRICE_ONLY,5,5,test,125,0.013341776582489119,0.01638622511958323,-0.3873621712940112
TSLA,PRICE+TECH,33,5,test,125,0.01157038443447661,0.015235856035981214,-0.19940466915452815
TSLA,PRICE+TECH+LAG,38,5,test,125,0.011345107504501732,0.015033980608931963,-0.16783096392536256
TSLA,ALL_NO_MACRO,47,5,test,125,0.01148547531512703,0.01525476017356989,-0.2023828775630938
TSLA,ALL_NO_REGIME,51,5,test,125,0.011029876599014011,0.014575520756847597,-0.0976911808795804
TSLA,ALL_FULL,60,5,test,125,0.011480346361581467,0.014812633451072374,-0.13369587533941507
TSLA,PRICE_ONLY,5,6,test,125,0.013702360759117328,0.016331156172269278,-0.3285098623124716
TSLA,PRICE+TECH,33,6,test,125,0.010952427928842214,0.01378264044887317,0.05377204953070169
TSLA,PRICE+TECH+LAG,38,6,test,125,0.010833994322041596,0.013681497448227015,0.06760875586831672
TSLA,ALL_NO_MACRO,47,6,test,125,0.011101755428656568,0.013906768786021373,0.03665158491264653
TSLA,ALL_NO_REGIME,51,6,test,125,0.014674902570804546,0.01798000251464606,-0.610313430974478
TSLA,ALL_FULL,60,6,test,125,0.013491419306060515,0.01653542677757848,-0.3619517934902656
TSLA,PRICE_ONLY,5,7,test,125,0.013658172922368072,0.016966240824470978,-0.5188229414095105
TSLA,PRICE+TECH,33,7,test,125,0.011545646742020937,0.015759407924384412,-0.3104356163861226
TSLA,PRICE+TECH+LAG,38,7,test,125,0.011512728796395144,0.015730785931970595,-0.3056799531807448
TSLA,ALL_NO_MACRO,47,7,test,125,0.011969618454430918,0.015951472063002955,-0.3425715166469825
TSLA,ALL_NO_REGIME,51,7,test,125,0.01614826898749691,0.019298976276406293,-0.9651895155478685
TSLA,ALL_FULL,60,7,test,125,0.01580951795810904,0.01909404190453625,-0.9236747152183924
TSLA,PRICE_ONLY,5,8,test,125,0.013515316538582458,0.017066611753928276,-0.38900331891531126
TSLA,PRICE+TECH,33,8,test,125,0.014117827713852204,0.019257822985508082,-0.7685732279413249
TSLA,PRICE+TECH+LAG,38,8,test,125,0.013546046342940276,0.01828282674591566,-0.5940258250743529
TSLA,ALL_NO_MACRO,47,8,test,125,0.014137271847398034,0.01887107474533677,-0.6982512200959454
TSLA,ALL_NO_REGIME,51,8,test,125,0.013197167728549659,0.016260808278438253,-0.2609356522659476
TSLA,ALL_FULL,60,8,test,125,0.013526352053425119,0.016662311609570494,-0.3239731262526391
TSLA,PRICE_ONLY,5,9,test,125,0.01273878793085275,0.015917002699543104,-0.5939979247111569
TSLA,PRICE+TECH,33,9,test,125,0.012606078326078412,0.017808689711430965,-0.9953960396399866
TSLA,PRICE+TECH+LAG,38,9,test,125,0.012264095169898487,0.01737026239729374,-0.8983571823921261
TSLA,ALL_NO_MACRO,47,9,test,125,0.012346942974801366,0.01728902385461765,-0.8806419476793756
TSLA,ALL_NO_REGIME,51,9,test,125,0.012725268834423067,0.016154000183526508,-0.6418192324234371
TSLA,ALL_FULL,60,9,test,125,0.012011002408441536,0.015182009230430085,-0.45018588604814513
TSLA,PRICE_ONLY,5,10,test,125,0.012850073353906828,0.015507490415922419,-0.967235940005398
TSLA,PRICE+TECH,33,10,test,125,0.010806883318176776,0.013829573529489462,-0.5645555324941047
TSLA,PRICE+TECH+LAG,38,10,test,125,0.010744971368014111,0.013759392964081723,-0.5487166075176655
TSLA,ALL_NO_MACRO,47,10,test,125,0.010469092609482738,0.013250213584164967,-0.4362140299249806
TSLA,ALL_NO_REGIME,51,10,test,125,0.010481986766916158,0.012662147673349626,-0.3115599774808657
TSLA,ALL_FULL,60,10,test,125,0.010223756418709632,0.012420513267374757,-0.2619800613648384
TSLA,PRICE_ONLY,5,11,test,125,0.01271888761934532,0.014677377546139958,-0.921579755083054
TSLA,PRICE+TECH,33,11,test,125,0.011019293254320738,0.013132918589987363,-0.5384521296021574
TSLA,PRICE+TECH+LAG,38,11,test,125,0.01080051359135241,0.012810884755698622,-0.463928048501671
TSLA,ALL_NO_MACRO,47,11,test,125,0.01067976525800797,0.012727543728705352,-0.44494287806757193
TSLA,ALL_NO_REGIME,51,11,test,125,0.010915727595259848,0.012808488810626436,-0.46338051985428863
TSLA,ALL_FULL,60,11,test,125,0.010644615816644026,0.012535552904886803,-0.4016786919198416
TSLA,PRICE_ONLY,5,12,test,125,0.012109869409908791,0.014438568847990092,-1.13998426763678
TSLA,PRICE+TECH,33,12,test,125,0.008882083358293354,0.011082542557836899,-0.2607851934462839
TSLA,PRICE+TECH+LAG,38,12,test,125,0.009131409324491645,0.011229348768494768,-0.2944087074155921
TSLA,ALL_NO_MACRO,47,12,test,125,0.008967849112843342,0.011171160055348196,-0.28102862092936176
TSLA,ALL_NO_REGIME,51,12,test,125,0.009402989479064108,0.011381019150096204,-0.3296109793259283
TSLA,ALL_FULL,60,12,test,125,0.009206611653536334,0.011136541703921976,-0.27310135373990785
TSLA,PRICE_ONLY,5,13,test,125,0.014536304953984683,0.018149024889189205,-0.6344987034789455
TSLA,PRICE+TECH,33,13,test,125,0.010403391328431065,0.0141758705006915,0.0028110385359242374
TSLA,PRICE+TECH+LAG,38,13,test,125,0.010370148431705934,0.014219453899648567,-0.0033300579283377374
TSLA,ALL_NO_MACRO,47,13,test,125,0.010436020147967547,0.014224869387489304,-0.004094441208788879
TSLA,ALL_NO_REGIME,51,13,test,125,0.010861831355509874,0.014079218877886811,0.016362427898535037
TSLA,ALL_FULL,60,13,test,125,0.010879860055103401,0.01393681107054467,0.03616029390590636
TSLA,PRICE_ONLY,5,14,test,125,0.015059779620770035,0.018937650264045695,-0.5517594910939729
TSLA,PRICE+TECH,33,14,test,125,0.01198962587640428,0.015634858388109622,-0.057694219034320815
TSLA,PRICE+TECH+LAG,38,14,test,125,0.011928380657618367,0.01555819322390171,-0.04734689235213452
TSLA,ALL_NO_MACRO,47,14,test,125,0.011960115716239067,0.015496786032106172,-0.03909558608455632
TSLA,ALL_NO_REGIME,51,14,test,125,0.011473302171502445,0.014937623412509206,0.03453787871193337
TSLA,ALL_FULL,60,14,test,125,0.01152366023363969,0.015062367309439386,0.018345425377393143
